Number		Dims		Class Data
0		(64, 64, 3)		b'dumbbell' (class 154)
1		(64, 64, 3)		b'pizza, pizza pie' (class 16)
2		(64, 64, 3)		b'backpack, back pack, knapsack, packsack, rucksack, haversack' (class 38)
3		(64, 64, 3)		b'computer keyboard, keypad' (class 26)
4		(64, 64, 3)		b'refrigerator, icebox' (class 132)
5		(64, 64, 3)		b'turnstile' (class 122)
6		(64, 64, 3)		b'brass, memorial tablet, plaque' (class 155)
7		(64, 64, 3)		b'fur coat' (class 59)
8		(64, 64, 3)		b'flagpole, flagstaff' (class 150)
9		(64, 64, 3)		b'sports car, sport car' (class 117)
10		(64, 64, 3)		b'Arabian camel, dromedary, Camelus dromedarius' (class 27)
11		(64, 64, 3)		b'limousine, limo' (class 114)
12		(64, 64, 3)		b'nail' (class 29)
13		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
14		(64, 64, 3)		b'teddy, teddy bear' (class 144)
15		(64, 64, 3)		b'confectionery, confectionary, candy store' (class 146)
16		(64, 64, 3)		b'barn' (class 133)
17		(64, 64, 3)		b'Yorkshire terrier' (class 135)
18		(64, 64, 3)		b'nail' (class 29)
19		(64, 64, 3)		b'meat loaf, meatloaf' (class 192)
20		(64, 64, 3)		b'cannon' (class 80)
21		(64, 64, 3)		b'chest' (class 110)
22		(64, 64, 3)		b'crane' (class 103)
23		(64, 64, 3)		b'gasmask, respirator, gas helmet' (class 83)
24		(64, 64, 3)		b'bucket, pail' (class 190)
25		(64, 64, 3)		b'Labrador retriever' (class 39)
26		(64, 64, 3)		b'dam, dike, dyke' (class 88)
27		(64, 64, 3)		b'ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle' (class 76)
28		(64, 64, 3)		b'mushroom' (class 107)
29		(64, 64, 3)		b'pomegranate' (class 170)
30		(64, 64, 3)		b'slug' (class 100)
31		(64, 64, 3)		b'sock' (class 47)
32		(64, 64, 3)		b'wok' (class 95)
33		(64, 64, 3)		b"potter's wheel" (class 96)
34		(64, 64, 3)		b'military uniform' (class 169)
35		(64, 64, 3)		b'barbershop' (class 145)
36		(64, 64, 3)		b"spider web, spider's web" (class 36)
37		(64, 64, 3)		b'computer keyboard, keypad' (class 26)
38		(64, 64, 3)		b'broom' (class 124)
39		(64, 64, 3)		b'remote control, remote' (class 54)
40		(64, 64, 3)		b'American lobster, Northern lobster, Maine lobster, Homarus americanus' (class 151)
41		(64, 64, 3)		b'Christmas stocking' (class 123)
42		(64, 64, 3)		b'chest' (class 110)
43		(64, 64, 3)		b'Labrador retriever' (class 39)
44		(64, 64, 3)		b'frying pan, frypan, skillet' (class 86)
45		(64, 64, 3)		b'barbershop' (class 145)
46		(64, 64, 3)		b'stopwatch, stop watch' (class 137)
47		(64, 64, 3)		b'flagpole, flagstaff' (class 150)
48		(64, 64, 3)		b'potpie' (class 23)
49		(64, 64, 3)		b'kimono' (class 172)
50		(64, 64, 3)		b'organ, pipe organ' (class 19)
51		(64, 64, 3)		b'pop bottle, soda bottle' (class 45)
52		(64, 64, 3)		b'go-kart' (class 163)
53		(64, 64, 3)		b'standard poodle' (class 194)
54		(64, 64, 3)		b'barrel, cask' (class 65)
55		(64, 64, 3)		b'oboe, hautboy, hautbois' (class 20)
56		(64, 64, 3)		b'sulphur butterfly, sulfur butterfly' (class 42)
57		(64, 64, 3)		b'abacus' (class 63)
58		(64, 64, 3)		b'walking stick, walkingstick, stick insect' (class 181)
59		(64, 64, 3)		b'jinrikisha, ricksha, rickshaw' (class 108)
60		(64, 64, 3)		b'guinea pig, Cavia cobaya' (class 17)
61		(64, 64, 3)		b'tabby, tabby cat' (class 66)
62		(64, 64, 3)		b'umbrella' (class 18)
63		(64, 64, 3)		b'syringe' (class 162)
64		(64, 64, 3)		b'tractor' (class 75)
65		(64, 64, 3)		b'plate' (class 143)
